Headlines,Fecha
"78. Antonio Romero (Ceca): ""Hay que revisar de arriba abajo la regulación europea para simplificarla""",2025-10-17
79. El mapa bancario en España tras fracasar la opa BBVA-Sabadell,2025-10-17
80. Así ha sido la pelea de año y medio entre Banco Sabadell y BBVA,2025-10-17
"81. El Gobierno muestra su ""total respeto"" por el resultado de la opa de BBVA sobre Sabadell",2025-10-16
82. Las patronales catalanas celebran el fracaso de la opa de BBVA sobre Sabadell,2025-10-16
"83. Los minoristas de Sabadell celebran que haya triunfado ""el sentido común""",2025-10-16
"84. Puigdemont celebra el fracaso de la opa de BBVA sobre Sabadell: ""Era importante que no prosperase""",2025-10-16
"85. Illa: ""Siempre hemos defendido un sistema bancario adaptado a la realidad catalana""",2025-10-16
86. Naufraga la opa de BBVA sobre Sabadell: tres grandes consecuencias del fracaso,2025-10-16
"87. Torres (BBVA): ""Nuestros objetivos hasta 2028 nos mantendrán a la cabeza de la banca europea""",2025-10-16
88. BBVA se dispara en Wall Street tras el fracaso de la opa sobre Sabadell,2025-10-16
"89. BBVA logra el 25,47% de Sabadell en la opa",2025-10-16
90. El Ibex recupera los 15.600 puntos y se prepara para nuevos máximos,2025-10-16
91. BBVA cae en el Ibex: el mercado valora tres escenarios ante la opa,2025-10-16
92. BBVA-Sabadell: llega el desenlace de la mayor batalla bancaria de la década,2025-10-16
93. BBVA y CaixaBank se lanzan a financiar al capital riesgo para ganar rentabilidad,2025-10-16
"94. La Primera de Expansión sobre BBVA, Sabadell, CaixaBank, Indra, vivienda, criptomonedas y el salón de baile de Trump",2025-10-16
95. Los fondos españoles venden Sabadell en el mercado o esperan a la segunda opa,2025-10-16
96. La CNMV ha obligado a revisar más de una decena de precios en opas,2025-10-16
97. BBVA y Sabadell caen ligeramente en Bolsa a las puertas de que la CNMV publique el resultado de la opa,2025-10-16
98. BBVA y Sabadell se miran en el espejo bursátil de UniCredit y Monte dei Paschi,2025-10-16
99. El Ibex choca con sus máximos y se aleja de los 15.600 puntos,2025-10-15
100. Bestinver vende sus acciones de Sabadell y no acude a la opa,2025-10-15
"101. El precio mínimo de Sabadell en una segunda opa de BBVA podría ser de 3,39 euros",2025-10-15
"102. La Primera de Expansión sobre Ruiz Tagle, BBVA, Trump y España, Apple, Nvidia, Stellantis y Milei",2025-10-15
103. Ligeros repuntes en Bolsa de Sabadell y BBVA,2025-10-15
104. Las utilities acercan al Ibex a los 15.600 puntos,2025-10-14
"105. Sabadell comunica que solo el 2,8% de los inversores con acciones en el banco ha acudido a la opa de BBVA",2025-10-14
"106. La Primera de Expansión sobre autónomos, BBVA, Sabadell, Aena, OpenAI, Apple y Alemania",2025-10-14
107. BBVA se enfrenta en la opa sobre Sabadell a una encrucijada de riesgos,2025-10-14
108. La Bolsa cotiza que BBVA no superará el 50% de Sabadell en esta opa,2025-10-14
109. BBVA y Sabadell hacen sus cuentas bajo la lupa de la CNMV,2025-10-14
110. El PNV se reconcilia con el BBVA antes del desenlace de la opa sobre Sabadell,2025-10-13
111. El Ibex recupera el 15.500 atento a las tensiones comerciales entre EEUU y China,2025-10-13
112. Sabadell sube en el Ibex en pleno recuento de la opa,2025-10-13
"113. Urrutia (Amaef): ""Que BBVA y Sabadell no se puedan fusionar en tres años minimizará el impacto en bancaseguros""",2025-10-13
"114. La Primera de Expansión sobre BBVA, Sabadell, Juan Roig, tierras raras, Google, Hamás y Novo Nordisk",2025-10-13
"115. Blackstone, Cerberus y Ares ponen a la venta 25.000 viviendas de alquiler en España",2025-10-13
"116. ""Los europeos ahorran mucho, pero tienen miedo cuando toca invertir""",2025-10-13
"117. Beltrán de la Lastra: ""El dinero está más protegido en Bolsa que en el banco""",2025-10-13
"118. El mercado, pendiente de los datos clave de la operación",2025-10-13
119. Sabadell conoce hoy la aceptación o no del 30% de los accionistas,2025-10-13
120. ¿Qué pasará con la acción de Sabadell esta semana?,2025-10-13
121. La batalla BBVA-Sabadell aboca al Gobierno a revisar la ley de opas,2025-10-13
122. ¿Opas en acciones o en efectivo? La Bolsa prefiere el dinero,2025-10-12
123. BBVA y Sabadell juntos cambiarían el mapa bancario en España,2025-10-11
124. Por qué el recuento de la opa de BBVA sobre Sabadell tarda 7 días,2025-10-11
125. David Martínez puede llegar a ser primer accionista de BBVA,2025-10-11
126. La banca de inversión aplaude la estrategia de Sabadell en la opa,2025-10-11
127. ¿Qué pasará con las acciones de Sabadell tras la opa?,2025-10-11
128. Máxima incertidumbre sobre el resultado de la opa de BBVA-Sabadell,2025-10-11
129. El Ibex se gira a la baja con la amenaza de Trump,2025-10-10
130. BBVA y Sabadell echan el resto en las últimas horas de aceptación de la opa,2025-10-10
131. Los fondos de gestión activa de BlackRock aceptarán la opa de BBVA,2025-10-10
132. Un 57% de los grandes fondos cree que habrá segunda opa de BBVA sobre Sabadell,2025-10-10
"133. La Primera de Expansión sobre BBVA, Sabadell, Gaza, Francia, Indra, Nvidia y Milei",2025-10-10
