Headlines,Fecha
"856. La Primera de Expansión sobre Amancio Ortega, BlackRock, BBVA, ITP Aero, Harvard, Tesla y el Papa",2025-04-22
857. Quién controla el billón de euros de la Bolsa española,2025-04-22
858. BBVA crea cinco divisiones para acelerar la integración de Sabadell,2025-04-22
859. Sabadell sugiere a la CNMC un análisis adicional sobre la opa,2025-04-21
860. Ocho juntas de accionistas europeas a seguir por los inversores este año,2025-04-21
861. La CNMC ultima el informe favorable para la opa hostil de BBVA,2025-04-17
862. La banca española salvará el primer trimestre y ganará un 15% más,2025-04-17
863. El Ibex esquiva las tensiones comerciales y supera los 12.900 puntos,2025-04-16
"864. La Primera de Expansión sobre Evolyn, BCE, Santander, BBVA, Meta, Harvard y Goldman Sachs",2025-04-15
"865. Santander, CaixaBank, BBVA y Sabadell arman un escudo de deuda anti-Trump",2025-04-15
"866. Bank of America irrumpe en BBVA y adquiere el 3,1 % de las acciones",2025-04-14
867. BBVA prevé que la eurozona suponga más del 40% de su beneficio si se combina con Sabadell,2025-04-13
"868. AEB: ""La banca tiene fortaleza suficiente para mantener su política de dividendos""",2025-04-11
"869. Kenta Capital, la firma dedicada en exclusiva a soluciones de financiación",2025-04-11
"870. Los analistas cierran filas con la banca española, que repunta el 6%",2025-04-11
871. N26 se adhiere a la patronal bancaria española,2025-04-10
872. Los dividendos y las recompras ponen fin a la mejora de capital de la banca europea,2025-04-10
873. Competencia aún confía en aprobar en abril el dictamen de la opa de BBVA sobre Sabadell,2025-04-09
874. Opa BBVA-Sabadell: los empresarios de Pontevedra piden más garantías durante más tiempo,2025-04-08
875. Las ganancias de la banca caerán un 20% si la guerra arancelaria se agrava,2025-04-08
876. Lluvia de dividendos en pleno terremoto bursátil: estas son las fechas clave,2025-04-08
877. La actividad hipotecaria se dispara un 22% en los dos primeros meses del año,2025-04-08
878. Así afectaría el vendaval bursátil a la prima de BBVA por Sabadell,2025-04-07
"879. Sabadell, CaixaBank, Santander y BBVA se ganan a las agencias de ráting",2025-04-07
"880. BBVA reparte este jueves un dividendo complementario de 0,41 euros por acción",2025-04-06
881. La CNMC deja fuera a sindicatos y patronales en el test de mercado de la opa BBVA-Sabadell,2025-04-06
882. ESPECIAL | Escuche la entrevista completa con Carlos Torres (BBVA),2025-04-05
883. Los fondos buscan alternativas a la venta de sus promotoras en España,2025-04-05
"884. Hipotecas más y más baratas a tipo fijo, variable y mixto",2025-04-05
885. Las cotizadas catalanas superan los 11.500 millones de euros de beneficio,2025-04-04
"886. El Ibex se desploma un 5,8% en su peor sesión desde marzo de 2020",2025-04-04
887. Los grandes fondos agitan el capital de Sabadell y BBVA,2025-04-04
888. Santander y Sabadell disparan a récord su liquidez gracias a los depósitos y la deuda,2025-04-04
"889. Gobierno de la IA, un reto clave y transversal en la banca",2025-04-04
"890. El Ibex limita la caída al 1,2% gracias al tirón de las utilities",2025-04-03
891. BBVA mejora los compromisos de la fusión y abre la puerta al test de mercado,2025-04-03
"892. Santander, JPMorgan y Citi lideran el 'trimestre negro' de la banca de inversión en España",2025-04-03
893. Santander y CaixaBank lideran el resurgir del crédito al capital riesgo,2025-04-02
"894. MCH, Ardian y Swen lanzan la venta de Logalty",2025-04-02
895. Cataluña: el reto de ser una economía abierta en un entorno desafiante,2025-04-02
896. Oliu insiste en defender el modelo y dividendos de Sabadell,2025-04-01
"897. La Primera de Expansión sobre Santander, Carlos Torres, Illa, Bizum, Seat, Softbank, Open AI y Harvard",2025-04-01
"898. Santander, CaixaBank y Sabadell venden 3.700 millones en créditos impagados",2025-04-01
"899. Bizum inicia su interconexión con Italia, Portugal y Andorra para pagos transfronterizos",2025-04-01
900. Indra y los bancos brillan en un primer trimestre histórico,2025-04-01
901. Las imágenes del Gran Encuentro EXPANSIÓN Catalunya,2025-03-31
902. La deuda valenciana rebasa por primera vez los 60.000 millones,2025-03-31
"903. Carlos Torres (BBVA): ""La oferta por Sabadell es mucho más atractiva hoy de lo que lo era hace un año""",2025-03-31
"904. Carlos Ventura: ""Si Sabadell no existiera tendríamos que inventarlo""",2025-03-31
905. El marco de no fusión podría entorpecer la opa de BBVA,2025-03-31
"906. Sabadell retoma
las recompras de acciones el lunes",2025-03-29
907. BBVA ajusta la ecuación de canje de la opa sobre Sabadell por el pago de dividendos,2025-03-28
"908. Magallanes: La opa de BBVA a Sabadell ""no tiene ningún sentido""",2025-03-28
909. BBVA tiene los bonos más atractivos de Europa,2025-03-28
910. S&P eleva un escalón el ráting de Sabadell en un momento clave de la opa,2025-03-27
"911. Zurich, en plena opa de Sabadell, ficha una decena de profesionales para ganar negocio",2025-03-27
"912. La Primera de Expansión sobre BBVA, Sabadell, MasOrange, aranceles, KKR, HSBC",2025-03-27
913. Competencia pide garantías a BBVA en pymes e inclusión financiera,2025-03-27
914. Sabadell acusa las dudas sobre su futuro con una merma de la vinculación emocional de sus clientes,2025-03-26
"915. El Ibex, a las puertas del 13.500, marca un nuevo máximo de 17 años",2025-03-25
"916. La Primera de Expansión sobre residencias de estudiantes, Naturgy, BBVA, Sabadell, Apple, BYD y Manchester United",2025-03-25
917. BBVA y Sabadell exprimen su colchón de dividendos con el visto bueno del BCE,2025-03-25
918. Claves del próximo dividendo de Sabadell,2025-03-25
"919. La Primera de Expansión sobre nucleares, Iberdrola, BBVA, Sabadell, Singular Bank, Canadá y Japón",2025-03-24
"920. Sabadell recurre a la Constitución y a la defensa del ""bien común"" para oponerse a la opa de BBVA",2025-03-24
921. Una ola de auto-opas riega la Bolsa española con 3.500 millones de liquidez,2025-03-24
"922. La junta de BBVA, una cita tranquila sin grandes emociones",2025-03-22
923. Scope: los cuatro grandes bancos españoles sufrirán una ligera caída de la rentabilidad,2025-03-21
"924. Torres (BBVA): ""La unión con Sabadell es una clara apuesta por España""",2025-03-21
"925. Junta de Sabadell: Emoción, muchos aplausos y defensa de los colores",2025-03-21
"926. Torres: ""Confiamos plenamente en el éxito de la opa de BBVA sobre Sabadell""",2025-03-21
"927. La Primera de Expansión sobre BBVA, Sabadell, Talgo, CAF, Día, Heathrow y Tesla",2025-03-21
928. Sabadell echa el resto para convencer al accionista histórico,2025-03-21
"929. Oliu: ""Nuestro dividendo difícilmente podrá ser equiparado por BBVA""",2025-03-20
930. La venta de activos bancarios tóxicos se desploma en Europa,2025-03-20
"931. Oliu: ""El Gobierno debe ser claro y avanzar su opinión sobre la fusión de BBVA y Sabadell""",2025-03-20
"932. La Primera de Expansión sobre Masdar, Iberdrola, BBVA, Sabadell, Booking, BYD, Nvidia y Jeff Bezos",2025-03-20
933. Sabadell y BBVA tienen en las juntas un nuevo escenario de enfrentamiento,2025-03-20
934. Sabadell celebra su primera junta tras la vuelta a Cataluña,2025-03-20
935. Los accionistas de BBVA votarán la reelección de Torres y Genç,2025-03-20
"936. González-Bueno (Sabadell): ""Creo que la CNMC no adoptará una postura dura por la fusión""",2025-03-19
"937. Iturriaga: ""El inversor español es el que más se va a arrepentir de no tener Bolsa española""",2025-03-19
938. Caja Ingenieros gana un 22% más con menos inversión crediticia,2025-03-19
939. Gran Encuentro Expansión Catalunya,2025-03-19
940. BBVA espera que el periodo de aceptación de la opa sobre Sabadell comience a finales de junio,2025-03-18
941. BBVA dejará su extra de capital en 1.000 millones con el 50% de Sabadell,2025-03-18
942. Reunión del jurado de los Premios Compliance de EXPANSIÓN,2025-03-18
"943. De Guindos (BCE) confía en un análisis con ""profesionalidad"" de la opa de BBVA sobre Sabadell",2025-03-17
"944. ""Sabadell tiene un futuro prometedor si continúa operando en solitario""",2025-03-17
945. BBVA se impone a Citi como líder del préstamo en Latinoamérica,2025-03-17
"946. Sabadell y BBVA, bajo la lupa de sus accionistas esta semana",2025-03-16
947. Las grandes cotizadas españolas ya ganan más del doble que antes de la pandemia,2025-03-15
948. Torres pide que los inversores decidan sobre las opas en marcha en Europa,2025-03-14
949. El Ibex se desmarca de las caídas en Europa y salva los 12.800 puntos,2025-03-13
"950. La Primera de Expansión sobre BBVA, Santander, Blackstone, Cirsa, gestoras más rentables y Musk e Intel",2025-03-13
951. BBVA reducirá el consejo de Sabadell al término de la opa,2025-03-13
952. Sabadell afronta 2025 con el colchón de financiación lleno,2025-03-13
"953. Los tribunales, el nuevo escenario en el que irrumpe la opa de BBVA sobre Sabadell",2025-03-12
954. BBVA aprovecha el alivio regulatorio para pausar su financiación y adelantar la de 2026,2025-03-12
955. ¿Qué valores españoles se disparan más del 230% en los últimos cinco años?,2025-03-11
956. Sabadell: Autocontrol rechaza la denuncia contra BBVA,2025-03-11
"957. Fernando Navarro: ""Pretendemos ser un despacho de referencia para operaciones transnacionales""",2025-03-10
958. El Ibex rompe su racha y pierde los 13.100 puntos arrastrado por Wall Street,2025-03-10
959. ArcelorMittal se choca contra los máximos de 2022,2025-03-10
"960. BBVA podría mejorar la opa por Sabadell con hasta 1.500 millones, según Deutsche",2025-03-07
961. Ocho valores con buen precio y dividendo para jugar con los tipos,2025-03-07
962. Cuerpo cree que la opa de BBVA sobre Sabadell podría suponer una excesiva concentración,2025-03-05
"963. La Primera de Expansión sobre Trump y aranceles, Naturgy, BBVA, el PIB de China, BlackRock y el gasto en Defensa",2025-03-05
964. La CNMC no exigirá a BBVA vender negocios para la fusión,2025-03-05
965. Torres agradece a sus accionistas el apoyo al proyecto de fusión antes de la Junta,2025-03-04
966. El 'proxy' Glass Lewis apoya a BBVA y Sabadell en sus juntas pero avisa de sus altos salarios ejecutivos,2025-03-04
967. Santander y BBVA: fuerte solvencia y mayores dividendos,2025-03-04
968. Por qué los valores que recompran acciones han subido más en Bolsa,2025-03-04
969. Zurich avanza y es ya el segundo mayor accionistas de Sabadell,2025-03-03
970. BBVA: es impredecible el impacto de las exigencias de la CNMC y el Gobierno,2025-03-03
971. La marcha de Méndez de la Ceca plantea la posible separación del 'lobby' y Cecabank,2025-03-03
972. La ola de opas derriba las reticencias de la banca de inversión a las ofertas hostiles,2025-03-03
973. El 'proxy advisor' ISS mantiene su apoyo a la opa de BBVA sobre Sabadell,2025-03-02
974. Santander tiene los CoCos más rentables de Europa,2025-02-28
975. BBVA eleva a 705 millones el pago en metálico de la opa sobre Sabadell,2025-02-28
976. Sabadell refuerza el mensaje de una alta remuneración a sus accionistas,2025-02-27
977. BBVA consumirá casi el doble de capital de lo previsto para la fusión con Sabadell,2025-02-27
"978. Santander, BBVA y Sabadell compran 60.000 millones en deuda española con tipos altos",2025-02-27
"979. BBVA crecerá en España aunque no compre Sabadell, según BofA",2025-02-27
980. El 'proxy advisor' ISS agita la junta de accionistas de Sabadell en plena opa de BBVA,2025-02-26
981. La CNMV esperará a conocer la posición del Gobierno antes de aprobar la opa de BBVA sobre Sabadell,2025-02-26
982. Zurich sube su apuesta por Sabadell con 440 millones,2025-02-26
983. El Ibex recupera los 13.100 puntos pese a los recortes en Wall Street,2025-02-25
"984. La Primera de Expansión sobre Cirsa, Telefóni la OPA de BBVA sobre Sabadell",2025-02-25
985. Santander y BBVA se disputan el trono de la financiación al capital riesgo,2025-02-25
986. BBVA y Sabadell sacan 33.300 millones de su caja en la opa para mejorar los resultados,2025-02-25
987. La cúpula de Bankinter se juega un bonus de 4 millones,2025-02-25
"988. BBVA retirará la opa por Sabadell si la CNMC exige desinversiones, según KBW",2025-02-24
989. Zurich se convierte en el tercer accionista de Sabadell,2025-02-24
"990. La Primera de Expansión sobre las elecciones en Alemania, Blackstone, Sabadell y Alibaba",2025-02-24
991. La opa de BBVA elimina la prima de riesgo en la deuda de Sabadell,2025-02-24
"992. Las recompras, ¿una retribución para todos los accionistas?",2025-02-24
993. Escrivá anuncia un nuevo centro de innovación del Banco de España en Barcelona,2025-02-23
994. ¿Qué valores llevarán al Ibex más allá del 13.000?,2025-02-21
995. Sabadell pide a Competencia que exija desinversiones a BBVA,2025-02-21
996. Sabadell exige que BBVA presente medidas estructurales,2025-02-21
997. El rally del Ibex agota el potencial de sus valores más alcistas,2025-02-21
998. Bancos europeos viven su mejor racha desde 1997: ¿es sostenible?,2025-02-21
999. La IA y la presión sobre el capital riesgo activarán el M&A en 2025,2025-02-21
1000. BBVA y Santander pisan el acelerador en la distribución de seguros de autos,2025-02-20
1001. La estrella del Ibex que deslumbra en Europa y gusta a todos los expertos,2025-02-20
1002. El fondo de Bolsa española más rentable en 3 años se dispara gracias a la banca,2025-02-20
1003. El supervisor financiero de México autoriza a BBVA a hacerse con la filial de Sabadell en el país,2025-02-19
1004. El Ibex supera los 13.100 puntos tras encadenar siete sesiones al alza,2025-02-18
"1005. Magallanes desinvierte en banca española, pero apuesta por Sabadell",2025-02-18
1006. Hasta dónde puede llegar el rally de los bancos del Ibex,2025-02-17
1007. El CEO de Sabadell prevé que la opa de BBVA llegue a fase 3,2025-02-16
1008. Sabadell ultima sus alegaciones a Competencia contra la opa de BBVA,2025-02-16
"1009. Sabadell, Santander y BBVA inyectan 39.550 millones al Ibex 35",2025-02-15
1010. Torrente de dividendos y recompra de acciones de los bancos españoles,2025-02-15
"1011. BBVA abonará un dividendo de 0,41 euros por acción el 10 de abril",2025-02-14
1012. Los dos titanes de la banca española que se lucen en Europa y seguirán deslumbrando,2025-02-14
1013. Sabadell refuerza su defensa en la opa con un nuevo plan estratégico,2025-02-14
"1014. Crédit Agricole, el banco de las múltiples marcas en España",2025-02-13
1015. ¿Qué hará el consejo de Sabadell si BBVA eleva la oferta de compra?,2025-02-13
1016. Sabadell suma 10 alzas de precio objetivo tras los resultados y sube más de un 30% en Bolsa este año,2025-02-13
"1017. Sabadell, Santander, BBVA y Unicaja suben más de un 20%",2025-02-13
1018. El Ibex recurre otra vez a la banca para superar los 12.900 puntos,2025-02-12
"1019. La Primera de Expansión sobre Telefónica, BBVA, América Móvil, Ryanair, CATL, Trump y DeepSeek",2025-02-12
1020. BBVA pacta con Competencia sus compromisos para la fusión con Sabadell,2025-02-12
1021. Sabadell eleva el número de directivos con blindaje,2025-02-12
1022. Sabadell gana 136 millones en su alianza de seguros con Zurich,2025-02-12
1023. Sabadell destina 60 millones a su defensa numantina de la opa de BBVA,2025-02-12
1024. La junta de Sabadell votará la reelección de González-Bueno el 20 de marzo,2025-02-11
"1025. Standard Ethics: ""El sector bancario conserva una fuerte huella responsable""",2025-02-11
"1026. Oliu, a los accionistas: ""Sabadell tiene por delante un futuro muy rentable""",2025-02-11
1027. Por qué los inversores de los bancos se resisten a ofertas 'increíbles',2025-02-10
1028. El Ibex recupera los 12.700 puntos pese a los nuevos aranceles de Trump,2025-02-10
"1029. Oliu: el beneficio récord de Banco Sabadell es ""mejorable"" y ""sostenible""",2025-02-10
"1030. González-Bueno (Sabadell): ""Es perfectamente posible que BBVA suba el precio de la opa""",2025-02-10
1031. Quiénes son los 10 mejores banqueros de inversión de España,2025-02-09
"1032. CaixaBank, Sabadell y Santander son líderes en bancaseguros con 7.800 millones en primas",2025-02-09
1033. Los bancos facilitan el trabajo de la CNMC en la opa sobre Sabadell,2025-02-09
"1034. Iberdrola, BBVA e Inditex, las apuestas del Fondo Noruego",2025-02-09
1035. Sabadell: todo por la opa,2025-02-07
"1036. González-Bueno: ""La operación de BBVA no tiene sentido al precio actual""",2025-02-07
"1037. La gran banca gana 31.768 millones en 2024, otro récord",2025-02-07
1038. Sabadell inicia el sprint,2025-02-07
1039. Sabadell gana un récord de 1.827 millones y eleva el pago a los accionistas a 3.300 millones,2025-02-07
1040. BBVA tiene casi 1.900 millones para mejorar la oferta por Sabadell,2025-02-07
"1041. Sabadell, el banco más protegido ante el recorte de los tipos",2025-02-07
1042. La Cámara de Comercio de Sabadell recurre su exclusión de la opa,2025-02-06
1043. La deserción de empresas de Cataluña se intensifica: pierde 371 en 2024 y Madrid gana 266,2025-02-06
1044. BBVA refuerza su área financiera con el CFO de México,2025-02-06
1045. BBVA firma un acuerdo de colaboración con la patronal catalana Cecot,2025-02-05
1046. BlackRock alcanza en España 70.000 millones de inversión,2025-02-05
1047. ING dice que estudia adquisiciones para crecer en España,2025-02-04
"1048. La Primera de Expansión sobre Trump y sus aranceles, grandes energéticas, BBVA y Sabadell",2025-02-04
1049. El impuesto supondrá el 20% de las sinergias de la opa BBVA/Sabadell,2025-02-04
1050. Los aranceles muestran la estrecha correlación de BBVA y Sabadell en Bolsa,2025-02-04
"1051. La Federación Catalana de Tenis liquida una deuda histórica de 6,1 millones",2025-02-03
1052. Trump aplaza los aranceles con México y las Bolsas moderan las caídas al cierre,2025-02-03
"1053. Salvador Illa: ""Nos gustaría que Banco Sabadell pudiera seguir haciendo su camino""",2025-02-03
1054. Zurich se reorganiza a las puertas de la fusión BBVA-Sabadell,2025-02-03
"1055. La Bolsa pisa el acelerador: banca, IAG y Mapfre cogen altura",2025-02-01
1056. Competencia vasca no ve problemas con la unión de BBVA y Sabadell en Euskadi,2025-01-31
1057. La opa de BBVA sobre Sabadell entra en su recta final,2025-01-31
1058. El Ibex sube por tercer día más del 1% y amplía máximos por encima del 12.400,2025-01-30
"1059. Torres (BBVA): ""Esperamos que la opa se apruebe en las próximas semanas en términos que creen valor""",2025-01-30
1060. La estrecha relación de CaixaBank con la economía española,2025-01-30
"1061. Gortázar: ""En España hay espacio para mayor consolidación bancaria""",2025-01-30
1062. BBVA culmina un año de gracia,2025-01-30
"1063. BBVA gana un récord de 10.054 millones, sube el dividendo un 27% y lanza otra recompra",2025-01-30
1064. BBVA: se esfuma la ganancia contable por adquirir Sabadell,2025-01-30
1065. La crisis inmobiliaria llevó a la práctica desaparición de las cajas,2025-01-30
1066. La banca española vuela y marca récord en Bolsa,2025-01-30
1067. Sabadell amortiza las acciones que tenía en autocartera por la recompra suspendida en 2024,2025-01-29
1068. Cuerpo mantiene sus reticencias a la opa de BBVA por problemas de competencia y presencia territorial,2025-01-29
1069. CaixaBank exprime la ventana de deuda de enero ante el retroceso de Santander y BBVA,2025-01-29
1070. Así consiguió Emilio Botín controlar cuatro de los grandes bancos,2025-01-29
"1071. Francesco Ceccato: ""Europa tiene exceso de bancos, necesita cierto grado de consolidación""",2025-01-29
1072. El Ibex supera los 12.100 puntos y cierra en máximos de 15 años,2025-01-28
"1073. Bankinter y BBVA liderarán la banca española en rentabilidad en 2025, según S&P",2025-01-28
"1074. La Primera de Expansión sobre Nvidia, DeepSeek, Citi, Inditex, Microsoft, TikTok y Samsung",2025-01-28
"1075. Ignacio Gutiérrez-Orrantia: ""La consolidación bancaria en Europa es necesaria y pronto encontrará su camino""",2025-01-28
"1076. La Primera de Expansión sobre David Solomon, Repsol, BBVA, Sabadell, aranceles y Apple",2025-01-27
1077. Los bancos de inversión de la opa BBVA-Sabadell blindan sus comisiones,2025-01-27
1078. Diez valores del Ibex afrontan resultados con pleno apoyo de los analistas,2025-01-26
1079. Con la lupa en la temporada de resultados,2025-01-25
1080. Sabadell celebrará una junta trascendental el 20 de marzo en Cataluña,2025-01-24
"1081. La Primera de Expansión sobre Carlos Torres, Ana Botín, Renfe, Disney, Sony y OpenAI",2025-01-24
"1082. Carlos Torres: ""El traslado de Sabadell no cambia la opa""",2025-01-24
1083. Las luchas por el poder en la banca,2025-01-24
"1084. El Ibex, a las puertas de los 12.000 puntos de la mano de los bancos",2025-01-23
1085. BBVA ultima el nombramiento de un nuevo responsable de la integración con Sabadell,2025-01-23
"1086. La Primera de Expansión sobre Sabadell, Naturgy, Davos, Ferrovial, Google, Arabia Saudí y la banca europea",2025-01-23
1087. Sabadell vuelve a Cataluña en busca de apoyo de accionistas y políticos,2025-01-23
"1088. Sánchez presume ante el Ibex de la mejor economía ""en décadas""",2025-01-23
"1089. Sabadell mete presión a BBVA para subir la opa, según los analistas",2025-01-23
1090. La opa se convierte en una batalla política total tras el regreso de Banco Sabadell,2025-01-22
1091. El consejo de Sabadell aprueba el traslado de su sede a Cataluña,2025-01-22
"1092. BBVA dice que la vuelta de Sabadell a Cataluña no cambia ""las bondades"" de la opa",2025-01-22
1093. Competencia catalana desvincula la opa y el regreso de Banco Sabadell,2025-01-22
"1094. Illa: el regreso de Sabadell refleja que Cataluña va ""por el buen camino""",2025-01-22
1095. La decisión de Sabadell anticipa un goteo de regresos de sedes a Cataluña,2025-01-22
"1096. Empresarios e instituciones valencianas ""respetan"" la decisión de Sabadell aunque ""no nos gusta""",2025-01-22
"1097. Cuerpo dice que tiene ""mucho sentido"" la vuelta de Sabadell a Cataluña",2025-01-22
"1098. La Primera de Expansión sobre Sabadell, Iberdrola, Netflix, Telefónica, TikTok, Fitur y Donald Trump",2025-01-22
1099. Sabadell devuelve su sede a Cataluña en un momento clave de la opa de BBVA,2025-01-22
1100. BBVA y Sabadell prevén una rápida resolución de las autorizaciones,2025-01-22
1101. Los resultados podrían apuntalar la cotización de los bancos españoles,2025-01-21
1102. La prima de la opa de BBVA sobre Sabadell ya es negativa,2025-01-20
1103. Cecot pone deberes a los políticos: reducir la burocracia y el absentismo,2025-01-20
1104. La EBA someterá a la banca a una guerra comercial en el test de estrés de 2025,2025-01-20
1105. ¿Conseguirán los bancos mantener este año el nivel de rentabilidad de 2024?,2025-01-20
"1106. Santander: ""Reino Unido es clave y eso no ha cambiado""",2025-01-19
"1107. CaixaBank, BBVA y Sabadell lideran la captación de depósitos en Europa",2025-01-18
1108. BBVA entrará en el 'top 5' bancario europeo por dividendo,2025-01-17
"1109. Sabadell elevará el cebo al accionista: pagará otros 3.000 millones, según los analistas",2025-01-17
1110. BBVA-Sabadell y UniCredit llevan el M&A bancario europeo a máximos desde 2015,2025-01-16
1111. BBVA y su apuesta por los accionistas de Sabadell,2025-01-16
1112. La CNMC no detectó que los bancos trasladaran el 'impuestazo' a los clientes,2025-01-15
1113. Qué abogados han asesorado en las grandes operaciones en España,2025-01-15
1114. La CNMC ve riesgos en dos productos químicos en la opa de Bondalti sobre Ercros,2025-01-14
1115. La banca tiene 8.000 millones para dividendos y apuntalar su negocio,2025-01-14
1116. Garrigues y Uría lideran las operaciones con el impulso de la opa BBVA-Sabadell,2025-01-13
1117. Los letrados más destacados en servicios financieros,2025-01-13
1118. El Ibex pierde el 11.700 al frenarse las previsiones de recortes de tipos,2025-01-13
1119. Bank of America elige un banco del Ibex entre sus favoritos de Europa,2025-01-13
"1120. Torres, convencido de que los accionistas de Sabadell aceptarán la opa",2025-01-13
"1121. La Primera de Expansión sobre Abu Dhabi, Sabadell, fondos activistas, comercio chino y Justin Trudeau",2025-01-13
1122. Sabadell abarata sus hipotecas para disparar sus ingresos durante la opa,2025-01-13
1123. Moncloa prepara un gran 'road-show' en Davos para exhibir músculo económico,2025-01-13
1124. CaixaBank arranca el año con una ofensiva en cuentas nómina,2025-01-12
1125. Balfegó estrena planta y bordea los 100 millones de euros de ventas,2025-01-12
1126. Casa Mas sube ventas un 8% y dobla el ebitda tras mudarse a Sallent,2025-01-11
"1127. El Ibex pierde los 11.800 puntos y reduce la ganancia semanal al 0,6%",2025-01-10
"1128. Fernández Alvariño: ""Banco Sabadell es esencial para la financiación de las pymes gallegas""",2025-01-10
"1129. La Primera de Expansión sobre BBVA, Sabadell, Stellantis, VW, Venezuela, Los Ángeles y Silicon Valley",2025-01-10
1130. BBVA modifica la opa para evitar una maniobra defensiva de Sabadell,2025-01-10
1131. S&P cree que la opa de BBVA sobre Sabadell no alteraría las condiciones de competencia,2025-01-09
1132. Unicaja aprueba un plan a tres años enfocado en la rentabilidad,2025-01-09
"1133. Sabadell, Indra y BBVA, líderes en el arranque de 2025",2025-01-09
1134. Santander y BBVA compiten con la banca italiana en valor bursátil,2025-01-07
1135. El Ibex supera los 11.800 puntos impulsado por la banca e Inditex,2025-01-06
1136. El Gobierno eleva el pago del impuesto a la banca para casos como la opa de BBVA sobre Sabadell,2025-01-03
1137. El Ibex sube un 41% en dos años,2025-01-02
1138. Las acciones de los bancos de la eurozona registran su mejor cierre de año desde 2010,2024-12-30
"1139. Wall Street, el Dax y el Ibex lideran el año",2024-12-28
1140. Bankinter nombra a Eduard Gallart director de Banca Retail y Red de Oficinas,2024-12-27
"1141. La Primera de Expansión sobre cotizaciones, inversión en hoteles, Santander, BBVA, Palacios, China, Boeing",2024-12-27
"1142. Santander, BBVA, CaixaBank y Sabadell refinanciarán 55.000 millones con tipos a la baja",2024-12-27
"1143. Banca, seguros y 'telecos' llegan a fin de año con un alza de más del 15%",2024-12-27
1144. Tres linces del dividendo en el Ibex para ganar hasta un 25% a medio plazo,2024-12-27
"1145. La Primera de Expansión sobre BBVA, Sabadell, capital riesgo, Acciona, Sacyr, Decathlon y diamantes",2024-12-26
1146. BBVA y Sabadell tienen 3.800 millones para disparar los dividendos en la opa,2024-12-26
1147. BBVA dice que ganará con Sabadell un 9% más y podría superar los 10.000 millones,2024-12-24
"1148. La opa de BBVA sobre Sabadell, el primer gran conflicto a resolver del nuevo consejo de la CNMC",2024-12-24
1149. Diecisiete cotizadas españolas entran en el Dow Jones sostenible,2024-12-24
"1150. Competencia de Cataluña alerta del ""elevado riesgo"" de concentración de la opa BBVA-Sabadell",2024-12-23
1151. BBVA obtiene luz verde de la autoridad de competencia mexicana a su opa sobre Sabadell,2024-12-23
"1152. La Primera de Expansión sobre BBVA, Santander, Iberdrola, Honda, Nissan, DAZN, Palantir y Anduril",2024-12-23
"1153. Santander, BBVA, Sabadell y Bankinter vuelven a hablar de fusiones",2024-12-23
1154. Una ola de 17 opas de exclusión drena 38.500 millones de la Bolsa española,2024-12-23
1155. Soltec ficha a Lazard para buscar oxígeno financiero,2024-12-23
1156. Diez dividendos para ganar más del 7% en el nuevo año,2024-12-21
1157. La CNMC mirará con lupa la opa de Bondalti sobre Ercros,2024-12-20
1158. Jon Riberas y GPF se unen a Javier Botín en la compra de Palacios por 425 millones,2024-12-20
1159. Cascada de impugnaciones ante la CNMC tras rechazar la mayoría de personaciones a la opa,2024-12-19
"1160. La Primera de Expansión sobre BBVA, Sabadell, la FED, Muface, Trump y Perplexity",2024-12-19
1161. BBVA cree que puede ganar incluso con Sabadell como segunda marca,2024-12-19
1162. BBVA pagará efectivo por los 'picos' de las acciones de Sabadell,2024-12-18
"1163. IAG, Grifols y ACS: motores a pleno rendimiento para el rally",2024-12-18
1164. Los valores del Ibex favoritos de los analistas para 2025,2024-12-18
"1165. El BCE eleva ligeramente la exigencia de capital de la banca al 15,6%",2024-12-17
"1166. San Basilio (CNMV) ve ""razonable"" esperar a Competencia para aprobar la opa de BBVA sobre Sabadell",2024-12-17
"1167. CaixaBank y BBVA, los bancos españoles preferidos de Citi",2024-12-17
1168. El Ibex se desmarca de Europa y rompe su racha de seis caídas,2024-12-16
1169. Las grandes energéticas se blindan con 60.000 millones de deuda antiopas,2024-12-16
"1170. Gloria Ortiz: ""El mercado seguirá siendo competitivo tras la fusión BBVA/Sabadell""",2024-12-16
1171. Javier Echenique Landiríbar: adiós a un referente de la banca y la empresa,2024-12-15
1172. Una quincena de organizaciones piden personarse en la opa de BBVA sobre Banco Sabadell,2024-12-14
"1173. Sabadell arenga a sus 1.500 principales directivos
para frenar la opa hostil",2024-12-13
"1174. El Ibex se aleja del 11.800 pese al recorte del BCE, lastrado por Inditex",2024-12-12
"1175. El BCE exige más capital a CaixaBank, BBVA y Santander para 2025",2024-12-12
1176. La opa de BBVA a Sabadell y las ventas de Dorna e Idealista disparan un 40% el M&A en España,2024-12-12
1177. Renta 4 fija el precio objetivo del Ibex en los 13.810 puntos para 2025,2024-12-12
"1178. La Primera de Expansión sobre los resultados de Inditex, BBVA, Indra, el Bitcoin, Milei y Microsoft",2024-12-11
"1179. Cuenta atrás para la opa del año: BBVA espera luz verde de la CNMC, la CNMV y el Gobierno",2024-12-11
1180. Expansión dispara su liderazgo en audiencia con 132.000 lectores,2024-12-10
1181. Los retos de San Basilio al frente del supervisor del mercado,2024-12-10
1182. Los diez valores del Ibex con mayor rentabilidad por dividendo,2024-12-10
